Data de acesso ,Nome,Genero,Idade,Etinia,Estado/Pais,Livre/Guiada,Cùpula,Hora,Mês
1/2/2026,Maria Luiza Ribeiro,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Nicolas Rezende,Masculino,0-12,Negro,DF,LIVRE,NÃO,,
1/2/2026,Davi Luiz Cardoso,Masculino,13-17,Negro,DF,LIVRE,NÃO,,
1/2/2026,Marcos Vinicius Nogueira,Masculino,18-59,Negro,DF,LIVRE,NÃO,,
1/2/2026,Gabriel Fogaça,Feminino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Murilo Monteiro,Masculino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Rebeca Jesus,Masculino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Breno Nunes,Feminino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,João Vitor Almeida,Masculino,0-12,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Nicolas Jesus,Masculino,0-12,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Leonardo Cunha,Feminino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Maria Julia da Luz,Feminino,0-12,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Bernardo Martins,Masculino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Dr. Benjamin da Luz,Masculino,0-12,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Olivia Pereira,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Alice Ribeiro,Feminino,0-12,Branco,DF,LIVRE,NÃO,,
1/2/2026,Luiz Henrique Rezende,Feminino,0-12,Branco,DF,LIVRE,NÃO,,
1/2/2026,Sr. Pedro Henrique da Rocha,Masculino,60 - +,Branco,DF,LIVRE,NÃO,,
1/2/2026,Gabriela da Mata,Feminino,60 - +,Branco,DF,LIVRE,NÃO,,
1/2/2026,Heitor Nunes,Feminino,60 - +,Branco,DF,LIVRE,NÃO,,
1/2/2026,Enzo Melo,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Enzo Rodrigues,Masculino,60 - +,Branco,DF,LIVRE,NÃO,,
1/2/2026,André Gonçalves,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Renan Cardoso,Masculino,13-17,Branco,DF,LIVRE,NÃO,,
1/2/2026,Vitor Melo,Masculino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Emanuella Ferreira,Masculino,18-59,Negro,DF,LIVRE,NÃO,,
1/2/2026,Sr. Kaique Castro,Masculino,60 - +,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Vitória da Conceição,Feminino,18-59,Outros,Outros Estados,LIVRE,NÃO,,
1/2/2026,Maria Julia Caldeira,Feminino,0-12,Outros,Outros Estados,LIVRE,NÃO,,
1/2/2026,Danilo Oliveira,Feminino,18-59,Outros,DF,LIVRE,NÃO,,
1/2/2026,Isaac Porto,Masculino,18-59,Outros,DF,LIVRE,NÃO,,
1/2/2026,Emanuel da Mota,Masculino,18-59,Outros,DF,LIVRE,NÃO,,
1/2/2026,Eduarda da Rosa,Feminino,0-12,Outros,DF,LIVRE,NÃO,,
1/2/2026,Sr. Anthony Cunha,Masculino,18-59,Outros,Outros Estados,LIVRE,NÃO,,
1/2/2026,Kamilly Monteiro,Feminino,18-59,Outros,Outros Estados,LIVRE,NÃO,,
1/2/2026,Theo Melo,Masculino,18-59,Outros,DF,LIVRE,NÃO,,
1/2/2026,Giovanna Cardoso,Feminino,0-12,Outro,DF,LIVRE,NÃO,,
1/2/2026,Sr. Ryan Nogueira,Feminino,18-59,Outro,DF,LIVRE,NÃO,,
1/2/2026,Benjamin da Costa,Masculino,18-59,Outro,DF,LIVRE,NÃO,,
1/2/2026,Igor da Paz,Feminino,18-59,Outro,DF,LIVRE,NÃO,,
1/2/2026,Isabella Rezende,Masculino,18-59,Outro,Outros Estados,LIVRE,NÃO,,
1/2/2026,Luiz Felipe Campos,Feminino,0-12,Outro,DF,LIVRE,NÃO,,
1/2/2026,Cecília Silveira,Feminino,18-59,Outro,DF,LIVRE,NÃO,,
1/2/2026,Vitor Gabriel Melo,Feminino,18-59,Outro,DF,LIVRE,NÃO,,
1/2/2026,Caroline Souza,Masculino,18-59,Outro,DF,LIVRE,NÃO,,
1/2/2026,Thiago Martins,Feminino,18-59,Outro,DF,LIVRE,NÃO,,
1/2/2026,Stella da Mata,Masculino,18-59,Outro,Outros Estados,LIVRE,NÃO,,
1/2/2026,Murilo da Conceição,Feminino,18-59,Outro,DF,LIVRE,NÃO,,
1/2/2026,Ana Nogueira,Masculino,18-59,Outro,Outros Estados,LIVRE,NÃO,,
1/2/2026,Dr. Luiz Felipe Cardoso,Masculino,18-59,Outros,Outros Estados,LIVRE,NÃO,,
1/2/2026,Srta. Ana Júlia da Luz,Masculino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Sabrina Novaes,Feminino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Sra. Stephany Ferreira,Feminino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Dra. Ana Lívia Azevedo,Feminino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Srta. Laura Silva,Masculino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Srta. Stella Barros,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Vitor Gabriel Alves,Masculino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Bruno Pires,Masculino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Sophia Martins,Masculino,0-12,Branco,DF,LIVRE,NÃO,,
1/2/2026,Marina Porto,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,João Miguel da Luz,Masculino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Igor Gonçalves,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Raul Monteiro,Feminino,60 - +,Branco,DF,LIVRE,NÃO,,
1/2/2026,Luiz Fernando da Luz,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Maria Fernanda Rezende,Masculino,0-12,Branco,DF,LIVRE,NÃO,,
1/2/2026,Luiz Felipe Duarte,Masculino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Ana Lívia Fogaça,Masculino,0-12,Branco,DF,LIVRE,NÃO,,
1/2/2026,Rodrigo da Rosa,Masculino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Marcos Vinicius Pereira,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Ryan Teixeira,Feminino,0-12,Branco,DF,LIVRE,NÃO,,
1/2/2026,Larissa da Luz,Masculino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Kevin Martins,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Emanuelly Carvalho,Masculino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Joaquim Silva,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Dra. Pietra Peixoto,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Joana Almeida,Masculino,13-17,Branco,DF,LIVRE,NÃO,,
1/2/2026,Manuela da Mota,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Raul Fernandes,Feminino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Eduarda Monteiro,Masculino,18-59,Branco,DF,LIVRE,NÃO,,
1/2/2026,Júlia da Luz,Feminino,18-59,Outro,Outros Estados,GUIADA,NÃO,,
1/2/2026,Daniel Cavalcanti,Feminino,18-59,Outro,Outros Estados,GUIADA,NÃO,,
1/2/2026,Lucas Gabriel Cardoso,Feminino,18-59,Branco,Outros Estados,GUIADA,NÃO,,
1/2/2026,Maria Alice Silveira,Feminino,0-12,Branco,Outros Estados,GUIADA,NÃO,,
1/2/2026,Luana Farias,Masculino,18-59,Branco,Outros Estados,GUIADA,NÃO,,
1/2/2026,João Felipe Castro,Masculino,18-59,Outro,DF,LIVRE,NÃO,,
1/2/2026,Manuela Costela,Feminino,18-59,Outro,Outros Estados,LIVRE,NÃO,,
1/2/2026,Levi Ramos,Masculino,18-59,Outro,Outros Estados,LIVRE,NÃO,,
1/2/2026,Gabriel Moraes,Masculino,18-59,Outro,Outros Estados,LIVRE,NÃO,,
1/2/2026,Murilo Melo,Feminino,18-59,Outro,Outros Estados,LIVRE,NÃO,,
1/2/2026,Sr. Enzo Gabriel Pereira,Feminino,18-59,Negro,DF,GUIADA,NÃO,,
1/2/2026,Eduarda Aragão,Feminino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
1/2/2026,Raul Freitas,Masculino,18-59,Branco,Outros Estados,LIVRE,NÃO,,
